year,region,country,minimum_annual_leave_5day_workweek,observation_status,leave_bracket,service_basis,source,source_url
2012,Europe and CIS,Estonia,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Finland,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,France,25,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Germany,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Hungary,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Iceland,24,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Ireland,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Italy,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Latvia,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Lithuania,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Luxembourg,25,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Malta,24,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Moldova,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
