country,region,ilo_2012_days_5day,ilo_status,ilo_bracket,wb_economy,wb_code,wb_2012_leave_1y,wb_2012_leave_avg,wb1_minus_ilo,abs_diff_1y,qa_class
St. Kitts and Nevis,Americas and Caribbean,14,exact_annex,10-14,St. Kitts and Nevis,KNA,14,14,0,0,close_0_1
Trinidad and Tobago,Americas and Caribbean,10,exact_annex,10-14,Trinidad and Tobago,TTO,10,10,0,0,close_0_1
United States,Americas and Caribbean,,no_universal_minimum,no_universal_minimum,United States New York City,USA,0,0,,,scope_noncomparable_no_universal_ilo
Uruguay,Americas and Caribbean,20,exact_annex,20-23,Uruguay,URY,20,21,0,0,close_0_1
Venezuela,Americas and Caribbean,13,exact_annex,10-14,"Venezuela, RB",VEN,15,19.333333333333332,2,2,moderate_1_2
Bahrain,Middle East (Arab States),21,exact_annex,20-23,Bahrain,BHR,15,18.333333333333332,-6,6,priority_review_ge5
Iraq,Middle East (Arab States),17,exact_annex,15-19,Iraq,IRQ,20,22,3,3,review_2_5
Jordan,Middle East (Arab States),14,exact_annex,10-14,Jordan,JOR,14,18.666666666666668,0,0,close_0_1
Kuwait,Middle East (Arab States),25,exact_annex,24-25,Kuwait,KWT,30,30,5,5,priority_review_ge5
Lebanon,Middle East (Arab States),15,exact_annex,15-19,Lebanon,LBN,15,15,0,0,close_0_1
Qatar,Middle East (Arab States),15,exact_annex,15-19,Qatar,QAT,18,22,3,3,review_2_5
Saudi Arabia,Middle East (Arab States),21,exact_annex,20-23,Saudi Arabia,SAU,18,23.3333333333333,-3,3,review_2_5
Syria,Middle East (Arab States),24,exact_annex,24-25,Syrian Arab Republic,SYR,14,21.666666666666668,-10,10,priority_review_ge5
United Arab Emirates,Middle East (Arab States),30,exact_annex,26+,United Arab Emirates,ARE,26,26,-4,4,review_2_5
Yemen,Middle East (Arab States),30,exact_annex,26+,"Yemen, Rep.",YEM,30,30,0,0,close_0_1
